index,file,group,row,column,source_paths,viewbox_x,viewbox_y,viewbox_w,viewbox_h
1,01_marks/001_marks_r01_c01.svg,marks,1,1,2,15.7373,12.0664,58.4144,50.8009
2,01_marks/002_marks_r01_c02.svg,marks,1,2,3,81.414,6.3086,62.3516,62.3516
3,01_marks/003_marks_r01_c03.svg,marks,1,3,3,145.176,6.1914,62.3477,62.3516
4,01_marks/004_marks_r02_c01.svg,marks,2,1,4,9.5351,61.2109,71.0312,63.4805
5,01_marks/005_marks_r02_c02.svg,marks,2,2,4,80.8515,61.2109,63.4766,63.4805
6,01_marks/006_marks_r02_c03.svg,marks,2,3,4,144.609,61.0937,63.4804,63.4805
7,01_marks/007_marks_r03_c01.svg,marks,3,1,3,10.0976,117.3555,69.9062,62.3555
8,01_marks/008_marks_r03_c02.svg,marks,3,2,3,81.414,117.3593,62.3516,62.3477
9,01_marks/009_marks_r03_c03.svg,marks,3,3,3,145.176,117.2385,62.3477,62.3516
10,01_marks/010_marks_r04_c01.svg,marks,4,1,4,9.5351,172.2578,71.0312,63.4844
11,01_marks/011_marks_r04_c02.svg,marks,4,2,4,80.8515,172.2615,63.4766,63.4766
12,01_marks/012_marks_r04_c03.svg,marks,4,3,4,144.609,172.1445,63.4804,63.4766
13,01_marks/013_marks_r05_c01.svg,marks,5,1,3,10.0976,228.4688,69.9062,62.3515
14,01_marks/014_marks_r05_c02.svg,marks,5,2,3,81.414,228.4688,62.3516,62.3515
15,01_marks/015_marks_r05_c03.svg,marks,5,3,3,145.176,228.3518,62.3477,62.3516
16,01_marks/016_marks_r06_c01.svg,marks,6,1,4,9.5234,283.359,71.0547,63.5039
17,01_marks/017_marks_r06_c02.svg,marks,6,2,4,80.8395,283.3635,63.5,63.4961
18,01_marks/018_marks_r06_c03.svg,marks,6,3,4,144.6015,283.2458,63.4961,63.4961
19,01_marks/019_marks_r07_c01.svg,marks,7,1,3,10.0976,339.5153,69.9062,62.3555
20,01_marks/020_marks_r07_c02.svg,marks,7,2,3,81.414,339.5197,62.3516,62.3476
21,01_marks/021_marks_r07_c03.svg,marks,7,3,3,145.176,339.402,62.3477,62.3476
22,01_marks/022_marks_r08_c01.svg,marks,8,1,4,9.5234,394.41,71.0547,63.5
23,01_marks/023_marks_r08_c02.svg,marks,8,2,4,80.8395,394.41,63.5,63.5
24,01_marks/024_marks_r08_c03.svg,marks,8,3,4,144.6015,394.293,63.4961,63.4961
25,01_marks/025_marks_r09_c01.svg,marks,9,1,3,10.0976,451.0582,69.9062,62.3555
26,01_marks/026_marks_r09_c02.svg,marks,9,2,3,81.414,451.0628,62.3516,62.3476
27,01_marks/027_marks_r09_c03.svg,marks,9,3,3,145.176,450.945,62.3477,62.3476
28,01_marks/028_marks_r10_c01.svg,marks,10,1,4,9.5234,505.953,71.0547,63.5
29,01_marks/029_marks_r10_c02.svg,marks,10,2,4,80.8395,505.953,63.5,63.4961
30,01_marks/030_marks_r10_c03.svg,marks,10,3,4,144.6015,505.836,63.4961,63.5
31,01_marks/031_marks_r11_c01.svg,marks,11,1,3,10.0976,562.422,69.9062,62.3555
32,01_marks/032_marks_r11_c02.svg,marks,11,2,3,81.414,562.422,62.3516,62.3515
33,01_marks/033_marks_r11_c03.svg,marks,11,3,3,145.176,562.305,62.3477,62.3515
34,01_marks/034_marks_r12_c01.svg,marks,12,1,4,9.5234,617.3168,71.0547,63.5
35,01_marks/035_marks_r12_c02.svg,marks,12,2,4,80.8395,617.3168,63.5,63.4961
36,01_marks/036_marks_r12_c03.svg,marks,12,3,4,144.6015,617.199,63.4961,63.4961
37,01_marks/037_marks_r13_c01.svg,marks,13,1,3,10.0976,673.4685,69.9062,62.3555
38,01_marks/038_marks_r13_c02.svg,marks,13,2,3,81.414,673.473,62.3516,62.3477
39,01_marks/039_marks_r13_c03.svg,marks,13,3,3,145.176,673.3553,62.3477,62.3477
40,01_marks/040_marks_r14_c01.svg,marks,14,1,4,9.5234,728.3632,71.0547,63.5
41,01_marks/041_marks_r14_c02.svg,marks,14,2,4,80.8395,728.3632,63.5,63.5
42,01_marks/042_marks_r14_c03.svg,marks,14,3,4,144.6015,728.2463,63.4961,63.5
43,01_marks/043_marks_r15_c01.svg,marks,15,1,3,10.0976,784.5825,69.9062,62.3555
44,01_marks/044_marks_r15_c02.svg,marks,15,2,3,81.414,784.5825,62.3516,62.3477
45,01_marks/045_marks_r15_c03.svg,marks,15,3,3,145.176,784.47,62.3477,62.3477
46,01_marks/046_marks_r16_c01.svg,marks,16,1,4,9.5234,839.475,71.0547,63.5
47,01_marks/047_marks_r16_c02.svg,marks,16,2,4,80.8395,839.475,63.5,63.4961
48,01_marks/048_marks_r16_c03.svg,marks,16,3,4,144.6015,839.3625,63.4961,63.4961
49,01_marks/049_marks_r17_c01.svg,marks,17,1,3,10.0976,895.6275,69.9062,62.3555
50,01_marks/050_marks_r17_c02.svg,marks,17,2,3,81.414,895.635,62.3516,62.3515
51,01_marks/051_marks_r17_c03.svg,marks,17,3,3,145.176,895.515,62.3477,62.3477
52,01_marks/052_marks_r18_c01.svg,marks,18,1,4,9.5234,950.52,71.0547,63.5
53,01_marks/053_marks_r18_c02.svg,marks,18,2,4,80.8395,950.5275,63.5,63.4961
54,01_marks/054_marks_r18_c03.svg,marks,18,3,4,144.6015,950.4075,63.4961,63.4961
55,01_marks/055_marks_r19_c01.svg,marks,19,1,3,10.0976,1007.175,69.9062,62.3515
56,01_marks/056_marks_r19_c02.svg,marks,19,2,3,81.414,1007.175,62.3516,62.3515
57,01_marks/057_marks_r19_c03.svg,marks,19,3,3,145.176,1007.055,62.3477,62.3476
58,01_marks/058_marks_r20_c01.svg,marks,20,1,4,9.5234,1062.0675,71.0547,63.5039
59,01_marks/059_marks_r20_c02.svg,marks,20,2,4,80.8395,1062.0675,63.5,63.4961
60,01_marks/060_marks_r20_c03.svg,marks,20,3,4,144.6015,1061.955,63.4961,63.4961
61,02_lockups/061_lockups_r01_c01.svg,lockups,1,1,13,223.1213,5.9726,63.0,66.7148
62,02_lockups/062_lockups_r01_c02.svg,lockups,1,2,13,287.5312,6.1992,56.5039,66.2618
63,02_lockups/063_lockups_r01_c03.svg,lockups,1,3,13,345.867,6.0,56.832,66.6602
64,02_lockups/064_lockups_r02_c01.svg,lockups,2,1,14,222.5588,65.4727,64.125,67.8398
65,02_lockups/065_lockups_r02_c02.svg,lockups,2,2,14,286.965,65.6953,57.6368,67.3946
66,02_lockups/066_lockups_r02_c03.svg,lockups,2,3,14,345.297,65.4922,57.9727,67.8007
67,02_lockups/067_lockups_r03_c01.svg,lockups,3,1,13,223.1213,126.1012,63.0,66.7109
68,02_lockups/068_lockups_r03_c02.svg,lockups,3,2,13,287.1877,126.1012,57.3281,67.2578
69,02_lockups/069_lockups_r03_c03.svg,lockups,3,3,13,345.7815,126.1012,56.832,66.6562
70,02_lockups/070_lockups_r04_c01.svg,lockups,4,1,14,222.5588,185.6018,64.125,67.8398
71,02_lockups/071_lockups_r04_c02.svg,lockups,4,2,14,286.6252,185.3243,58.4531,68.3906
72,02_lockups/072_lockups_r04_c03.svg,lockups,4,3,14,345.2145,185.3243,57.9609,67.7891
73,02_lockups/073_lockups_r05_c01.svg,lockups,5,1,13,222.9998,246.2265,63.2422,66.9727
74,02_lockups/074_lockups_r05_c02.svg,lockups,5,2,13,287.1877,246.2265,57.3281,67.2578
75,02_lockups/075_lockups_r05_c03.svg,lockups,5,3,13,345.7815,246.2265,56.832,66.6602
76,02_lockups/076_lockups_r06_c01.svg,lockups,6,1,14,222.426,305.9768,64.3868,68.1211
77,02_lockups/077_lockups_r06_c02.svg,lockups,6,2,14,286.6133,305.8358,58.4766,68.4023
78,02_lockups/078_lockups_r06_c03.svg,lockups,6,3,14,345.207,305.8358,57.9805,67.8046
79,02_lockups/079_lockups_r07_c01.svg,lockups,7,1,13,222.8947,366.8752,63.2422,66.9727
80,02_lockups/080_lockups_r07_c02.svg,lockups,7,2,13,287.1877,366.8752,57.3281,67.2578
81,02_lockups/081_lockups_r07_c03.svg,lockups,7,3,13,345.7815,366.8752,56.832,66.6562
82,02_lockups/082_lockups_r08_c01.svg,lockups,8,1,14,222.3203,426.6248,64.3867,68.1172
83,02_lockups/083_lockups_r08_c02.svg,lockups,8,2,14,286.6133,426.4808,58.4766,68.4062
84,02_lockups/084_lockups_r08_c03.svg,lockups,8,3,14,345.207,426.4808,57.9805,67.8046
85,02_lockups/085_lockups_r09_c01.svg,lockups,9,1,13,222.8947,487.5195,63.2422,66.9727
86,02_lockups/086_lockups_r09_c02.svg,lockups,9,2,13,287.1877,487.5195,57.3281,67.2617
87,02_lockups/087_lockups_r09_c03.svg,lockups,9,3,13,345.7815,487.5195,56.832,66.6602
88,02_lockups/088_lockups_r10_c01.svg,lockups,10,1,14,222.426,547.2698,64.3868,68.1211
89,02_lockups/089_lockups_r10_c02.svg,lockups,10,2,14,286.6133,547.1288,58.4766,68.4023
90,02_lockups/090_lockups_r10_c03.svg,lockups,10,3,14,345.207,547.1288,57.9805,67.8047
91,02_lockups/091_lockups_r11_c01.svg,lockups,11,1,13,222.8903,608.1683,63.2383,66.9727
92,02_lockups/092_lockups_r11_c02.svg,lockups,11,2,13,287.1877,608.1683,57.3281,67.2578
93,02_lockups/093_lockups_r11_c03.svg,lockups,11,3,13,345.7815,608.1683,56.832,66.6562
94,02_lockups/094_lockups_r12_c01.svg,lockups,12,1,14,222.3165,667.9178,64.3868,68.1172
95,02_lockups/095_lockups_r12_c02.svg,lockups,12,2,14,286.6133,667.3868,58.4766,68.4023
96,02_lockups/096_lockups_r12_c03.svg,lockups,12,3,14,345.207,667.3868,57.9805,67.8047
97,02_lockups/097_lockups_r13_c01.svg,lockups,13,1,13,222.8903,728.8163,63.2383,66.9688
98,02_lockups/098_lockups_r13_c02.svg,lockups,13,2,13,287.1877,728.8163,57.3281,67.2578
